transaction_id,customer_id,account_type,branch_code,transaction_type,transaction_amount,transaction_date,channel,balance_after_transaction,merchant_category_code,geo_location
T100000,C12498,Business,BR-002,Deposit,15895,2024-10-27 22:21:46,Mobile Banking,1717,9486,"29.13202, 84.868367"
T100001,C12544,Current,BR-002,Deposit,960,2023-06-23 02:41:44,Atm,274820,9954,"29.786066, 86.240289"
T100002,C10685,Savings,BR-014,Transfer,76920,2025-04-10 18:47:58,Mobile Banking,398650,2357,"29.283139, 83.703572"
T100003,C11277,Business,BR-013,Online Payment,54986,2025-02-10 07:26:22,Qr,181882,4244,"28.683857, 80.827884"
T100004,C10701,Business,BR-002,Transfer,6365,2025-02-21 14:53:28,Counter,497577,6016,"27.097874, 87.167129"
T100005,C12977,Current,BR-015,Deposit,82486,2023-06-11 07:36:25,Counter,119696,2772,"28.626719, 84.277234"
T100006,C12625,Savings,BR-020,Withdrawal,37294,2024-07-21 22:22:04,Atm,488852,9443,"27.137924, 87.6331"
T100007,C12648,Business,BR-001,Deposit,87598,2023-08-11 02:26:15,Qr,393974,5021,"27.592979, 87.794362"
T100008,C10340,Current,BR-004,Transfer,44231,2025-01-07 09:25:28,Atm,5994,1836,"28.780694, 82.740553"
T100009,C12543,Current,BR-010,Online Payment,60363,2024-10-25 19:02:51,Mobile Banking,267378,5433,"28.903246, 83.444745"
T100010,C10374,Savings,BR-002,Deposit,16123,2025-03-05 15:34:26,Qr,70300,3912,"28.172743, 84.64042"
T100011,C10392,Current,BR-006,Online Payment,41190,2023-10-03 22:56:12,Internet,307093,4185,"29.332578, 83.167547"
T100012,C11290,Current,BR-005,Deposit,67321,2024-04-19 17:25:06,Mobile Banking,38405,9992,"28.756414, 83.52967"
T100013,C11562,Savings,BR-010,Deposit,64920,2024-11-29 00:55:18,Atm,298016,6790,"28.976097, 86.713911"
T100014,C11874,Business,BR-006,Online Payment,869,2024-01-27 11:52:35,Qr,305359,2763,"29.486478, 83.438363"
T100015,C10143,Current,BR-018,Online Payment,59835,2024-12-09 19:42:59,Qr,24185,9217,"29.985414, 83.568884"
T100016,C11067,Business,BR-017,Withdrawal,63055,2024-01-14 01:18:43,Internet,175514,2982,"28.511371, 82.176629"
T100017,C12368,Business,BR-007,Transfer,65025,2025-02-25 20:30:33,Qr,445975,1006,"27.268581, 81.533801"
T100018,C11065,Current,BR-020,Online Payment,68069,2023-12-10 16:43:49,Qr,304297,5099,"28.732997, 84.537019"
T100019,C12791,Current,BR-002,Withdrawal,5411,2023-10-19 14:00:07,Internet,340679,4026,"26.454404, 85.761726"
T100020,C10207,Current,BR-011,Withdrawal,83204,2024-03-17 02:50:42,Counter,496239,4161,"27.94284, 86.82672"
T100021,C10721,Savings,BR-003,Online Payment,53807,2024-02-24 06:15:32,Counter,134653,5492,"26.814302, 85.144619"
T100022,C11939,Savings,BR-011,Deposit,85405,2024-01-31 15:51:25,Counter,52717,3225,"29.5047, 86.626497"
T100023,C10594,Current,BR-014,Online Payment,28793,2025-03-20 10:21:36,Counter,3763,5502,"29.98328, 80.284688"
T100024,C12762,Current,BR-009,Withdrawal,72032,2024-11-21 23:58:55,Atm,356054,9230,"29.182533, 87.694123"
T100025,C11927,Business,BR-005,Transfer,93116,2024-03-06 09:41:15,Internet,56480,7075,"27.278734, 86.967629"
T100026,C10047,Business,BR-019,Deposit,25758,2025-05-20 21:08:40,Counter,170831,1686,"26.966807, 84.53705"
T100027,C11161,Business,BR-016,Deposit,84578,2023-10-20 17:43:11,Counter,208139,3959,"28.103342, 82.847537"
T100028,C10067,Current,BR-002,Deposit,18531,2024-03-20 17:41:36,Counter,119094,5108,"29.467668, 86.29953"
T100029,C11191,Business,BR-010,Online Payment,2847,2025-02-08 02:13:15,Atm,157379,5677,"28.414233, 83.846596"
T100030,C12256,Current,BR-001,Online Payment,59250,2023-11-07 13:32:26,Counter,228443,6141,"26.199203, 87.034189"
T100031,C12410,Savings,BR-017,Online Payment,65825,2024-09-07 13:56:08,Qr,12064,4867,"29.436662, 86.542469"
T100032,C12082,Current,BR-017,Online Payment,84754,2023-12-27 21:15:58,Atm,77848,7575,"27.899992, 85.001779"
T100033,C10800,Business,BR-003,Transfer,35873,2023-11-12 12:41:13,Counter,38548,6786,"27.586094, 82.80921"
T100034,C10156,Savings,BR-018,Withdrawal,67535,2023-11-15 06:50:20,Qr,169017,4199,"27.824038, 80.59201"
T100035,C12025,Current,BR-020,Transfer,56986,2024-10-24 06:45:55,Atm,442153,6314,"29.157799, 82.023433"
T100036,C10975,Business,BR-015,Transfer,66903,2024-07-18 13:34:12,Counter,269620,1787,"28.31421, 83.060038"
T100037,C10936,Current,BR-014,Transfer,31651,2024-04-11 09:36:16,Atm,445972,7407,"26.003515, 87.632402"
T100038,C12128,Current,BR-010,Withdrawal,11494,2024-08-24 01:20:39,Qr,353245,7917,"27.365396, 80.026195"
T100039,C10221,Current,BR-005,Withdrawal,69192,2025-02-18 09:23:32,Mobile Banking,3382,4720,"26.353015, 84.327869"
T100040,C10332,Current,BR-011,Transfer,3990,2024-03-25 14:19:16,Qr,443899,6017,"28.459486, 83.63458"
T100041,C10534,Business,BR-020,Withdrawal,41706,2023-07-29 03:16:02,Internet,482215,2493,"28.362461, 81.984234"
T100042,C10386,Current,BR-003,Online Payment,96376,2024-05-08 20:05:59,Qr,177348,7114,"26.099731, 80.784262"
T100043,C12377,Savings,BR-001,Online Payment,80138,2023-08-30 11:15:16,Counter,427618,1038,"27.726962, 86.877344"
T100044,C11570,Business,BR-016,Deposit,87413,2024-11-09 15:51:09,Atm,486097,9053,"27.389328, 85.069764"
T100045,C11125,Savings,BR-007,Transfer,10727,2023-10-13 23:56:53,Qr,421162,5383,"26.012954, 86.79886"
T100046,C12289,Current,BR-005,Transfer,8892,2023-06-27 08:29:53,Counter,80698,8628,"28.569362, 80.434624"
T100047,C12079,Current,BR-001,Withdrawal,74069,2024-01-23 07:44:03,Mobile Banking,246762,8199,"28.124917, 81.505809"
T100048,C11858,Current,BR-005,Online Payment,43101,2024-01-24 18:58:56,Counter,244381,3467,"29.403165, 84.916416"
T100049,C11834,Savings,BR-010,Deposit,76652,2025-05-19 18:21:08,Atm,468149,2450,"26.41488, 83.930862"
T100050,C10990,Current,BR-003,Deposit,23997,2023-11-22 07:49:41,Atm,416551,2047,"27.501644, 85.518487"
T100051,C10634,Business,BR-008,Withdrawal,68248,2024-08-20 03:59:58,Qr,46095,3385,"27.059967, 84.966843"
T100052,C11805,Savings,BR-007,Deposit,23583,2025-01-01 04:24:16,Counter,474146,2319,"28.732984, 84.946129"
T100053,C10019,Current,BR-013,Withdrawal,48655,2023-12-22 16:08:50,Qr,393118,6081,"27.435263, 87.425761"
T100054,C12606,Savings,BR-017,Deposit,17259,2024-06-24 21:09:17,Atm,290341,2235,"29.877788, 82.424581"
T100055,C10310,Current,BR-006,Online Payment,80177,2025-05-21 08:10:38,Atm,390763,2422,"27.070956, 81.766259"
T100056,C11241,Current,BR-006,Online Payment,36020,2024-01-18 18:09:43,Qr,23010,4524,"27.536033, 86.427397"
T100057,C11562,Savings,BR-009,Deposit,92167,2024-11-24 00:36:48,Mobile Banking,418339,6121,"26.187344, 85.2084"
T100058,C11017,Current,BR-006,Withdrawal,67221,2024-08-25 18:20:10,Internet,351067,6393,"28.032754, 82.393576"
T100059,C11804,Savings,BR-016,Deposit,69579,2024-05-26 16:34:46,Internet,134962,5011,"29.011298, 82.520128"
T100060,C11556,Savings,BR-020,Deposit,89575,2025-01-10 18:20:38,Qr,487521,2451,"28.017309, 82.941118"
T100061,C10230,Business,BR-002,Online Payment,19557,2024-04-10 20:48:51,Counter,393670,7191,"29.743184, 83.952719"
